arquitectura,umbral,accuracy,precision,recall,f1,roc_auc,pr_auc
LSTM,0.8500000000000002,0.993993993993994,1.0,0.9,0.9473684210526315,0.9968051118210862,0.9702088452088453
GRU,0.8300000000000002,0.993993993993994,1.0,0.9,0.9473684210526315,0.997444089456869,0.9777777777777779
CONV1D,0.8900000000000002,0.978978978978979,0.8095238095238095,0.85,0.8292682926829268,0.9723642172523961,0.9295940170940171
