date,clean_name,clean_artists,rank,song,duration_ms,artists,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit,release_year,ctx_danceability_t_minus_1,ctx_energy_t_minus_1,ctx_speechiness_t_minus_1,ctx_acousticness_t_minus_1,ctx_instrumentalness_t_minus_1,ctx_liveness_t_minus_1,ctx_valence_t_minus_1,ctx_tempo_t_minus_1,ctx_loudness_t_minus_1,ctx_danceability_t_minus_2,ctx_energy_t_minus_2,ctx_speechiness_t_minus_2,ctx_acousticness_t_minus_2,ctx_instrumentalness_t_minus_2,ctx_liveness_t_minus_2,ctx_valence_t_minus_2,ctx_tempo_t_minus_2,ctx_loudness_t_minus_2,ctx_danceability_t_minus_3,ctx_energy_t_minus_3,ctx_speechiness_t_minus_3,ctx_acousticness_t_minus_3,ctx_instrumentalness_t_minus_3,ctx_liveness_t_minus_3,ctx_valence_t_minus_3,ctx_tempo_t_minus_3,ctx_loudness_t_minus_3,ctx_danceability_t_minus_4,ctx_energy_t_minus_4,ctx_speechiness_t_minus_4,ctx_acousticness_t_minus_4,ctx_instrumentalness_t_minus_4,ctx_liveness_t_minus_4,ctx_valence_t_minus_4,ctx_tempo_t_minus_4,ctx_loudness_t_minus_4,delta_danceability_vs_prev4_hit_avg,delta_energy_vs_prev4_hit_avg,delta_speechiness_vs_prev4_hit_avg,delta_acousticness_vs_prev4_hit_avg,delta_instrumentalness_vs_prev4_hit_avg,delta_liveness_vs_prev4_hit_avg,delta_valence_vs_prev4_hit_avg,delta_tempo_vs_prev4_hit_avg,delta_loudness_vs_prev4_hit_avg
2021-05-22,atdodies man,"[""linga""]",102,atdodies man,189493,linga,0,1998-01-01,0.571,0.954,2,-6.173,1,0.387,0.105,1.32e-06,0.805,0.757,144.09,4,0,1998,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.09799659928807536,0.34641033062729276,0.2658333063183321,-0.1536693873769569,-0.0035407379457475206,0.6385057249101014,0.2721001900130762,21.532763668682577,0.4671137740183786
2021-05-22,big wheel,"[""mental as anything""]",149,big wheel,286493,mental as anything,0,1985-09-01,0.727,0.612,0,-9.537,1,0.488,0.404,3.57e-05,0.592,0.771,118.251,4,0,1985,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,0.05800340071192467,0.004410330627292791,0.36683330631833205,0.14533061262304314,-0.0035063579457475205,0.4255057249101013,0.28610019001307624,-4.306236331317422,-2.896886225981622
2021-05-22,chitarratella,"[""carlo buti""]",132,chitarratella,199915,carlo buti,0,1942-04-06,0.356,0.272,0,-15.705,0,0.381,0.982,0.446,0.343,0.41,123.672,5,0,1942,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.31299659928807533,-0.3355896693727072,0.25983330631833207,0.7233306126230431,0.4424579420542525,0.17650572491010136,-0.0748998099869238,1.1147636686825706,-9.06488622598162
2021-05-22,coisas que a vida ensina,"[""josé augusto""]",125,coisas que a vida ensina,170707,josé augusto,0,1973-09-17,0.534,0.596,7,-8.164,1,0.303,0.426,0.266,0.668,0.588,129.969,4,0,1973,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.13499659928807528,-0.011589669372707223,0.18183330631833206,0.1673306126230431,0.2624579420542525,0.5015057249101014,0.10310019001307619,7.411763668682568,-1.523886225981621
2021-05-22,coração materno,"[""vicente celestino""]",147,coração materno,160003,vicente celestino,0,1945-05-02,0.536,0.158,3,-13.948,1,0.592,0.99,0.143,0.169,0.602,71.909,3,0,1945,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.13299659928807528,-0.44958966937270717,0.47083330631833203,0.7313306126230431,0.13945794205425247,0.0025057249101013424,0.1171001900130762,-50.64823633131742,-7.307886225981622
2021-05-22,cousin mary,"[""archie shepp""]",111,cousin mary,431600,archie shepp,0,1964-01-01,0.471,0.48,0,-10.841,1,0.389,0.31,0.0,0.345,0.463,130.422,4,0,1964,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.19799659928807534,-0.12758966937270722,0.2678333063183321,0.051330612623043115,-0.0035420579457475206,0.1785057249101013,-0.021899809986923757,7.864763668682571,-4.200886225981621
2021-05-22,diez mil porqués,"[""beret""]",123,diez mil porqués,211533,beret,0,2016-08-24,0.717,0.592,10,-8.102,1,0.117,0.307,0.0,0.12,0.586,139.977,4,0,2016,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,0.04800340071192466,-0.015589669372707227,-0.0041666936816679295,0.04833061262304311,-0.0035420579457475206,-0.04649427508989867,0.10110019001307619,17.419763668682577,-1.4618862259816217
2021-05-22,dito sa puso ko,"[""jaya""]",145,dito sa puso ko,254080,jaya,0,1999-07-07,0.553,0.474,0,-8.288,1,0.267,0.35,0.0,0.181,0.321,136.053,4,0,1999,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.11599659928807526,-0.13358966937270722,0.14583330631833208,0.0913306126230431,-0.0035420579457475206,0.014505724910101325,-0.16389980998692377,13.49576366868257,-1.6478862259816216
2021-05-22,elämän ohjat,"[""martti servo & napander""]",139,elämän ohjat,164840,martti servo & napander,0,1997-06-01,0.434,0.279,4,-10.879,0,0.345,0.339,1.71e-05,0.122,0.279,102.391,4,0,1997,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.23499659928807531,-0.32858966937270717,0.22383330631833204,0.08033061262304314,-0.0035249579457475207,-0.04449427508989867,-0.20589980998692375,-20.16623633131742,-4.238886225981621
2021-05-22,enseñame a olvidar,"[""banda el recodo""]",129,enseñame a olvidar,146867,banda el recodo,0,1999-03-11,0.452,0.248,0,-14.541,1,0.111,0.562,0.0,0.311,0.931,192.4,3,0,1999,0.6707777777777779,0.6044603174603175,0.12571111111111113,0.25047384126984124,0.0030673,0.1697142857142857,0.4880809523809523,120.32561904761904,-6.717301587301587,0.6628550724637682,0.6107101449275363,0.1217695652173913,0.2620610434782609,0.002842072898550725,0.16216956521739134,0.48558115942028984,121.85888405797103,-6.676492753623188,0.6686578947368421,0.6141447368421052,0.11715131578947367,0.2589934473684211,0.0025859267105263163,0.1684236842105263,0.49861973684210525,120.83435526315787,-6.618486842105263,0.6736956521739131,0.6010434782608696,0.12003478260869564,0.2631492173913043,0.005672932173913043,0.16566956521739132,0.46731739130434774,127.21008695652175,-6.5481739130434775,-0.2169965992880753,-0.3595896693727072,-0.010166693681667935,0.30333061262304317,-0.0035420579457475206,0.14450572491010133,0.44610019001307627,69.84276366868258,-7.900886225981622
