arquitectura,umbral,accuracy,precision,recall,f1,roc_auc,pr_auc
LSTM,0.39000000000000007,0.9801587301587301,0.955,0.9947916666666666,0.9744897959183674,0.9980134882478633,0.9967876521850855
GRU,0.8400000000000002,0.9623015873015873,0.9887005649717514,0.9114583333333334,0.948509485094851,0.9986311431623932,0.9976469878537719
CONV1D,0.13,0.9503968253968254,0.8847926267281107,1.0,0.9388753056234719,0.9970452724358975,0.9944781055562111
