"date","clean_name","clean_artists","song","artists","release_date","release_year","hit","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","context_week_t_minus_1","ctx_danceability_t_minus_1","ctx_energy_t_minus_1","ctx_speechiness_t_minus_1","ctx_acousticness_t_minus_1","ctx_instrumentalness_t_minus_1","ctx_liveness_t_minus_1","ctx_valence_t_minus_1","ctx_tempo_t_minus_1","ctx_loudness_t_minus_1","context_week_t_minus_2","ctx_danceability_t_minus_2","ctx_energy_t_minus_2","ctx_speechiness_t_minus_2","ctx_acousticness_t_minus_2","ctx_instrumentalness_t_minus_2","ctx_liveness_t_minus_2","ctx_valence_t_minus_2","ctx_tempo_t_minus_2","ctx_loudness_t_minus_2","context_week_t_minus_3","ctx_danceability_t_minus_3","ctx_energy_t_minus_3","ctx_speechiness_t_minus_3","ctx_acousticness_t_minus_3","ctx_instrumentalness_t_minus_3","ctx_liveness_t_minus_3","ctx_valence_t_minus_3","ctx_tempo_t_minus_3","ctx_loudness_t_minus_3","context_week_t_minus_4","ctx_danceability_t_minus_4","ctx_energy_t_minus_4","ctx_speechiness_t_minus_4","ctx_acousticness_t_minus_4","ctx_instrumentalness_t_minus_4","ctx_liveness_t_minus_4","ctx_valence_t_minus_4","ctx_tempo_t_minus_4","ctx_loudness_t_minus_4","delta_danceability_vs_prev4_hit_avg","delta_energy_vs_prev4_hit_avg","delta_speechiness_vs_prev4_hit_avg","delta_acousticness_vs_prev4_hit_avg","delta_instrumentalness_vs_prev4_hit_avg","delta_liveness_vs_prev4_hit_avg","delta_valence_vs_prev4_hit_avg","delta_tempo_vs_prev4_hit_avg","delta_loudness_vs_prev4_hit_avg"
"2021-05-22","atdodies man","[""linga""]","atdodies man","linga","1998-01-01","1998","0","189493","0","0.571","0.954","2","-6.173","1","0.387","0.105","0.00000132","0.805","0.757","144.09","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.097996599288076","0.346410330627293","0.265833306318332","-0.153669387376957","-0.003540737945748","0.638505724910101","0.272100190013076","21.5327636686826","0.46711377401838"
"2021-05-22","big wheel","[""mental as anything""]","big wheel","mental as anything","1985-09-01","1985","0","286493","0","0.727","0.612","0","-9.537","1","0.488","0.404","0.0000357","0.592","0.771","118.251","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","0.058003400711925","0.004410330627293","0.366833306318332","0.145330612623043","-0.003506357945748","0.425505724910101","0.286100190013076","-4.30623633131742","-2.89688622598162"
"2021-05-22","chitarratella","[""carlo buti""]","chitarratella","carlo buti","1942-04-06","1942","0","199915","0","0.356","0.272","0","-15.705","0","0.381","0.982","0.446","0.343","0.41","123.672","5","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.312996599288075","-0.335589669372707","0.259833306318332","0.723330612623043","0.442457942054252","0.176505724910101","-0.074899809986924","1.11476366868257","-9.06488622598162"
"2021-05-22","coisas que a vida ensina","[""josé augusto""]","coisas que a vida ensina","josé augusto","1973-09-17","1973","0","170707","0","0.534","0.596","7","-8.164","1","0.303","0.426","0.266","0.668","0.588","129.969","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.134996599288075","-0.011589669372707","0.181833306318332","0.167330612623043","0.262457942054252","0.501505724910101","0.103100190013076","7.41176366868257","-1.52388622598162"
"2021-05-22","coração materno","[""vicente celestino""]","coração materno","vicente celestino","1945-05-02","1945","0","160003","0","0.536","0.158","3","-13.948","1","0.592","0.99","0.143","0.169","0.602","71.909","3","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.132996599288075","-0.449589669372707","0.470833306318332","0.731330612623043","0.139457942054252","0.002505724910101","0.117100190013076","-50.6482363313174","-7.30788622598162"
"2021-05-22","cousin mary","[""archie shepp""]","cousin mary","archie shepp","1964-01-01","1964","0","431600","0","0.471","0.48","0","-10.841","1","0.389","0.31","0","0.345","0.463","130.422","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.197996599288075","-0.127589669372707","0.267833306318332","0.051330612623043","-0.003542057945748","0.178505724910101","-0.021899809986924","7.86476366868257","-4.20088622598162"
"2021-05-22","diez mil porqués","[""beret""]","diez mil porqués","beret","2016-08-24","2016","0","211533","0","0.717","0.592","10","-8.102","1","0.117","0.307","0","0.12","0.586","139.977","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","0.048003400711925","-0.015589669372707","-0.004166693681668","0.048330612623043","-0.003542057945748","-0.046494275089899","0.101100190013076","17.4197636686826","-1.46188622598162"
"2021-05-22","dito sa puso ko","[""jaya""]","dito sa puso ko","jaya","1999-07-07","1999","0","254080","0","0.553","0.474","0","-8.288","1","0.267","0.35","0","0.181","0.321","136.053","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.115996599288075","-0.133589669372707","0.145833306318332","0.091330612623043","-0.003542057945748","0.014505724910101","-0.163899809986924","13.4957636686826","-1.64788622598162"
"2021-05-22","elämän ohjat","[""martti servo & napander""]","elämän ohjat","martti servo & napander","1997-06-01","1997","0","164840","0","0.434","0.279","4","-10.879","0","0.345","0.339","0.0000171","0.122","0.279","102.391","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.234996599288075","-0.328589669372707","0.223833306318332","0.080330612623043","-0.003524957945748","-0.044494275089899","-0.205899809986924","-20.1662363313174","-4.23888622598162"
"2021-05-22","enseñame a olvidar","[""banda el recodo""]","enseñame a olvidar","banda el recodo","1999-03-11","1999","0","146867","0","0.452","0.248","0","-14.541","1","0.111","0.562","0","0.311","0.931","192.4","3","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.216996599288075","-0.359589669372707","-0.010166693681668","0.303330612623043","-0.003542057945748","0.144505724910101","0.446100190013076","69.8427636686826","-7.90088622598162"
"2021-05-22","ferma a guardare","[""ernia""]","ferma a guardare","ernia","2020-06-18","2020","0","193500","1","0.552","0.788","9","-6.333","0","0.11","0.423","0","0.148","0.51","162.037","4","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.116996599288075","0.180410330627293","-0.011166693681668","0.164330612623043","-0.003542057945748","-0.018494275089899","0.025100190013076","39.4797636686826","0.307113774018379"
"2021-05-22","forever you and me","[""the teskey brothers""]","forever you and me","the teskey brothers","2018-01-22","2018","0","175593","0","0.509","0.467","8","-4.94","1","0.331","0.436","0.00000998","0.971","0.538","175.159","3","2021-05-15","0.670777777777778","0.604460317460318","0.125711111111111","0.250473841269841","0.0030673","0.169714285714286","0.488080952380952","120.325619047619","-6.71730158730159","2021-05-08","0.662855072463768","0.610710144927536","0.121769565217391","0.262061043478261","0.002842072898551","0.162169565217391","0.48558115942029","121.858884057971","-6.67649275362319","2021-05-01","0.668657894736842","0.614144736842105","0.117151315789474","0.258993447368421","0.002585926710526","0.168423684210526","0.498619736842105","120.834355263158","-6.61848684210526","2021-04-24","0.673695652173913","0.601043478260869","0.120034782608696","0.263149217391304","0.005672932173913","0.165669565217391","0.467317391304348","127.210086956522","-6.54817391304348","-0.159996599288075","-0.140589669372707","0.209833306318332","0.177330612623043","-0.003532077945748","0.804505724910101","0.053100190013076","52.6017636686826","1.70011377401838"
